tid,target_chembl_id,target_pref_name,target_type,assay_id,assay_chembl_id,assay_description,assay_type,assay_type_desc,assay_test_type,assay_category_chembl,bao_format,bao_label,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,variant_id,variant_mutation,variant_accession,variant_isoform,confidence_score,confidence_desc,relationship_type,relationship_desc,src_id,src_short_name,src_assay_id,doc_chembl_id,doc_year,doc_journal,pubmed_id,doi,doc_title,assay_parameters,n_assay_parameters,assay_classifications,n_assay_classifications,n_activities,n_activities_with_pchembl,n_distinct_compounds,standard_types,activity_comments,n_activity_comments,assay_category,classification_confidence,classification_reason,review_required,classification_method,llm_category,llm_confidence,llm_evidence,llm_reasoning,llm_evidence_verified,llm_error,final_category,final_confidence,final_method,final_review_required
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,304127,CHEMBL840244,Potency in Glucokinase activation assay,B,Binding,,,BAO_0000357,single protein format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1143537,2005,Bioorg Med Chem Lett,15808477,10.1016/j.bmcl.2005.01.087,"Discovery, synthesis and biological evaluation of novel glucokinase activators.",,0,,0,23,16,23,EC50:23,,0,GCK 激活,high,描述命中激活类措辞：「Potency in Glucokinase activation assay」；standard_type 与描述一致（EC50:23→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,354582,CHEMBL865109,Activation of glucokinase,F,Functional,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1147698,2006,Bioorg Med Chem Lett,16503142,10.1016/j.bmcl.2006.02.022,"Design of a potent, soluble glucokinase activator with excellent in vivo efficacy.",,0,,0,6,6,6,EC50:6,,0,GCK 激活,high,描述命中激活类措辞：「Activation of glucokinase」；standard_type 与描述一致（EC50:6→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,488153,CHEMBL990114,Activation of GST fused human liver glucokinase assessed as generation of NADPH by G6PDH coupled assay,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155108,2008,J Med Chem,18588279,10.1021/jm8003202,"SAR, pharmacokinetics, safety, and efficacy of glucokinase activating 2-(4-sulfonylphenyl)-N-thiazol-2-ylacetamides: discovery of PSN-GK1.",,0,,0,13,12,13,EC50:13,,0,GCK 激活,high,描述命中激活类措辞：「Activation of GST fused human liver glucokinase assessed as generation…」；standard_type 与描述一致（EC50:13→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,488154,CHEMBL990115,Activation of GST fused human liver glucokinase assessed as generation of NADPH by G6PDH coupled assay relative to control,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155108,2008,J Med Chem,18588279,10.1021/jm8003202,"SAR, pharmacokinetics, safety, and efficacy of glucokinase activating 2-(4-sulfonylphenyl)-N-thiazol-2-ylacetamides: discovery of PSN-GK1.",,0,,0,12,0,12,FC:12,,0,GCK 激活,high,描述命中激活类措辞：「Activation of GST fused human liver glucokinase assessed as generation…」；standard_type 与描述一致（FC:12→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,488155,CHEMBL990116,Activation of GST fused human liver glucokinase assessed as concentration required to double glucokinase activity by G6PDH coupled assay,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155108,2008,J Med Chem,18588279,10.1021/jm8003202,"SAR, pharmacokinetics, safety, and efficacy of glucokinase activating 2-(4-sulfonylphenyl)-N-thiazol-2-ylacetamides: discovery of PSN-GK1.",,0,,0,12,0,12,Activity:12,,0,GCK 激活,high,描述命中激活类措辞：「Activation of GST fused human liver glucokinase assessed as concentrat…」,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,565878,CHEMBL959301,Activation of human glucokinase by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 2.5 mM glucose,B,Binding,,,BAO_0000357,single protein format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152887,2009,Bioorg Med Chem Lett,19188063,10.1016/j.bmcl.2009.01.053,Identification of novel and potent 2-amino benzamide derivatives as allosteric glucokinase activators.,,0,,0,33,27,33,EC50:33,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human glucokinase by glucose-6-phosphate dehydrogenase c…」；standard_type 与描述一致（EC50:33→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,565879,CHEMBL959302,Activation of human glucokinase by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 10 mM glucose,B,Binding,,,BAO_0000357,single protein format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152887,2009,Bioorg Med Chem Lett,19188063,10.1016/j.bmcl.2009.01.053,Identification of novel and potent 2-amino benzamide derivatives as allosteric glucokinase activators.,,0,,0,33,27,33,EC50:33,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human glucokinase by glucose-6-phosphate dehydrogenase c…」；standard_type 与描述一致（EC50:33→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,565880,CHEMBL959303,Activation of human glucokinase assessed as maximal response by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 2.5 mM glucose relative to control,B,Binding,,,BAO_0000357,single protein format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152887,2009,Bioorg Med Chem Lett,19188063,10.1016/j.bmcl.2009.01.053,Identification of novel and potent 2-amino benzamide derivatives as allosteric glucokinase activators.,,0,,0,33,0,33,FC:33,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human glucokinase assessed as maximal response by glucos…」；standard_type 与描述一致（FC:33→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,565881,CHEMBL959304,Activation of human glucokinase assessed as maximal response by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 10 mM glucose relative to control,B,Binding,,,BAO_0000357,single protein format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152887,2009,Bioorg Med Chem Lett,19188063,10.1016/j.bmcl.2009.01.053,Identification of novel and potent 2-amino benzamide derivatives as allosteric glucokinase activators.,,0,,0,33,0,33,FC:33,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human glucokinase assessed as maximal response by glucos…」；standard_type 与描述一致（FC:33→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,566832,CHEMBL957641,Activation of flag-tagged human recombinant liver glucokinase expressed in Escherichia coli by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 2.5 mM glucose,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1153380,2009,Bioorg Med Chem,19282189,10.1016/j.bmc.2009.02.038,Discovery of potent and orally active 3-alkoxy-5-phenoxy-N-thiazolyl benzamides as novel allosteric glucokinase activators.,,0,,0,25,23,25,EC50:25,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged human recombinant liver glucokinase expresse…」；standard_type 与描述一致（EC50:25→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
