assay_chembl_id,assay_description,standard_types,assay_category,classification_confidence,llm_category,llm_confidence,llm_evidence,llm_reasoning,llm_evidence_verified,llm_error,final_category,final_confidence,final_method,final_review_required
CHEMBL1054393,Activity at human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3),Vmax:1,无法判断,low,无法判断,low,Activity at human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3),描述仅提及活性测定且实测指标为 Vmax，未指明化合物对 GCK 的作用方向（激活或抑制），无法明确分类。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL2168355,Activity at human recombinant glucokinase assessed as increase in Vmax at 1 uM,Activity:1,无法判断,low,GCK 激活,high,increase in Vmax,Vmax最大反应速率的增加直接反映化合物增强酶活性，属于GCK激活。,TRUE,,GCK 激活,high,llm,FALSE
CHEMBL2168357,Activity at human recombinant glucokinase assessed as decrease in Km at 1 uM,Activity:1,无法判断,low,无法判断,low,Activity at human recombinant glucokinase assessed as decrease in Km at 1 uM,描述仅提及降低 Km，未指明该变化对应激活还是抑制，方向不明确。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL2432300,Activity of human glucokinase at 50 uM,Vmax:18,无法判断,low,无法判断,low,Activity of human glucokinase at 50 uM,描述仅提及在50 uM某种条件下的人葡萄糖激酶活性，未说明该条件是指化合物还是底物，也未提及测量的是激活、抑制或结合，因此无法归类。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL3117036,Inhibition of fluorescein-labeled human GK interaction with biotin-labeled human GKRP incubated for 20 mins prior to addition of fluorescein-labeled GK measured after 2 to 4 hrs by Alpha Screen assay,IC50:30,GCK 抑制,medium,GCK–GKRP 相互作用,high,Inhibition of fluorescein-labeled human GK interaction with biotin-labeled human GKRP,实验直接测量荧光标记GK与生物素标记GKRP之间的相互作用被化合物抑制的情况，属于GCK–GKRP相互作用检测。,TRUE,,GCK–GKRP 相互作用,high,llm,FALSE
CHEMBL3226993,Activity at glucokinase (unknown origin),EC50:27,GCK 激活,medium,无法判断,high,Activity at glucokinase (unknown origin),实验描述过于简略，仅提及对葡萄糖激酶的活性，未指明激活或抑制，且assay_type标记为B但实测standard_type均为EC50，存在不一致，无法可靠判断测量内容。,TRUE,,GCK 激活,low,manual_review_required,TRUE
CHEMBL3223676,Inhibition of recombinant human pancreatic glucokinase by G-6-P dehydrogenase assay,EC50:17,GCK 抑制,low,GCK 抑制,high,Inhibition of recombinant human pancreatic glucokinase by G-6-P dehydrogenase assay,实验描述直接使用“Inhibition of ... glucokinase”，明确指向抑制活性检测。尽管实测参数为EC50，但抑制实验中也常使用EC50表示半数有效抑制浓度，描述措辞是可靠依据。,TRUE,,GCK 抑制,high,llm,FALSE
CHEMBL3239304,Activity of recombinant human pancreatic glucokinase assessed as glucose half-maximal saturation concentration,S50:18,GCK 激活,medium,无法判断,low,Activity of recombinant human pancreatic glucokinase assessed as glucose half-maximal saturation concentration,描述仅提及测量葡萄糖半最大饱和浓度，未提及化合物处理或作用方向，无法确定实验目的。,TRUE,,GCK 激活,low,manual_review_required,TRUE
CHEMBL3239305,Activity of recombinant human pancreatic glucokinase assessed as glucose half-maximal activity,Vmax:1,无法判断,low,无法判断,high,Activity of recombinant human pancreatic glucokinase assessed as glucose half-maximal activity,实验描述仅评估了重组人胰腺葡萄糖激酶对底物葡萄糖的活性（半最大活性浓度），未涉及任何测试化合物或调控方向，因此无法归类到给定类别中。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL3377919,Activity of human recombinant Glucokinase measured over 5 mins by spectrophotometry,Km:24,无法判断,low,无法判断,high,Activity of human recombinant Glucokinase measured over 5 mins by spectrophotometry,描述仅提及重组GCK活性测量，未提及任何化合物处理，standard_type为Km，属于酶学动力学参数，无法判断是否评估化合物对GCK的激活或抑制等效应,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL3364949,Inhibition of fluorescein-labeled human GK interaction with biotin-labeled human GKRP compound incubated for 20 mins prior to addition of fluorescein-labeled GK measured after 2 to 4 hrs by AlphaScreen assay,IC50:45,GCK 抑制,medium,GCK–GKRP 相互作用,high,Inhibition of fluorescein-labeled human GK interaction with biotin-labeled human GKRP,实验描述明确指出测量的是GCK与GKRP之间相互作用的抑制，属于蛋白-蛋白相互作用实验，而非GCK酶活性直接测定。,TRUE,,GCK–GKRP 相互作用,high,llm,FALSE
CHEMBL3369166,Ratio of EC50 for GK translocation from nucleus to cytoplasm of mouse hepatocytes to IC50 for inhibition of fluorescein-labeled human GK interaction with biotin-labeled human GKRP,Ratio:2,GCK 抑制,medium,无法判断,low,Ratio of EC50 for GK translocation from nucleus to cytoplasm of mouse hepatocytes to IC50 for inhibition of fluorescein-labeled human GK interaction with biotin-labeled human GKRP,实验同时涉及细胞表型（GK转位的EC50）和GCK–GKRP相互作用抑制（IC50），最终读取值为二者比值，无法归为单一类别。,TRUE,,GCK 抑制,low,manual_review_required,TRUE
CHEMBL3751340,Effect on human glucokinase activity after 60 mins by luciferase-based luminescence assay in absence of human GKRP,EC50:1,GCK 激活,medium,GCK 激活,high,Effect on human glucokinase activity after 60 mins by luciferase-based luminescence assay in absence of human GKRP,实验明确测量对 GCK 酶活性的影响，standard_type 仅含 EC50，表明化合物增强酶活，且条件不含 GKRP，排除相互作用检测。,TRUE,,GCK 激活,high,llm,FALSE
CHEMBL3888434,"Coupled Enzymatic Assay: The assay is carried out according to the protocol outlined in Hariharan et al (1997), Diabetes 46: 11-16. Briefly, the test compounds are incubated in a reaction mix containing 25 mM HEPES (pH 7.2), 10 mM MgCl2, 100 mM KCl, 5 mM ATP, 2 mM DTT, 0.5 mM NAD, 1 U/mL Leuconostoc mesenteroides G6PD, 0.3 U/mL of purified human recombinant GK, and different concentrations of glucose. Enzymatic activity is calculated from the initial reaction velocity, measured from the change in NADH absorbance as a function of time.",EC50:38,GCK 激活,medium,GCK 激活,medium,"Enzymatic activity is calculated from the initial reaction velocity, measured from the change in NADH absorbance as a function of time.",该实验测定重组人GCK的酶活性，标准化类型为EC50，表明测量的是化合物增强酶活性的能力，因此归类为GCK激活。,TRUE,,GCK 激活,medium,llm,TRUE
CHEMBL4022295,"Potency index, ratio of (S)-N-(5-chlorothiazol-2-yl)-2-(4-(cyclopropylsulfonyl)-6-methyl-2-oxopyridin-1(2H)-yl)-3-(tetrahydro-2H-pyran-4-yl)propanamide EC50 to compound EC50 for full length human C-terminal FLAG-tagged glucokinase (12 to 465 residues)",Ratio EC50:1,GCK 激活,medium,无法判断,low,"Potency index, ratio of (S)-N-(5-chlorothiazol-2-yl)-2-(4-(cyclopropylsulfonyl)-6-methyl-2-oxopyridin-1(2H)-yl)-3-(tetrahydro-2H-pyran-4-yl)propanamide EC50 to compound EC50 for full length human C-terminal FLAG-tagged glucokinase (12 to 465 residues)",描述仅提及EC50比值，未说明功能方向（激活或抑制），且assay_type标注为Binding但与EC50不符，信息不足以归类至具体测量类别。,TRUE,,GCK 激活,low,manual_review_required,TRUE
CHEMBL4880638,GCK (h) Millipore kinase activity assay,Inhibition:1,GCK 抑制,medium,GCK 抑制,medium,GCK (h) Millipore kinase activity assay,实验描述为激酶活性测定，结合实测标准类型为抑制，表明实际测量的是化合物对GCK活性的抑制能力。描述本身未提及方向，故置信度为中。,TRUE,,GCK 抑制,medium,llm,TRUE
CHEMBL4881060,GCK(h) Eurofins Kinase panel,% residual kinase activity:1,无法判断,low,无法判断,low,GCK(h) Eurofins Kinase panel,实验描述仅提及激酶panel，未指明是激活、抑制或结合；实测指标为残留激酶活性百分比，但无方向性说明，无法确定具体测定类别。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL4884319,GCK(h) Eurofins kinase panel,% residual kinase activity:1,无法判断,low,无法判断,medium,GCK(h) Eurofins kinase panel,描述仅提及激酶panel，standard_type为残余活性但未标明是激活还是抑制筛选，activity_comment也未提供方向信息，无法确定究竟测量激活或抑制。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL4884756,GCK(M4K2LGY1) Takeda global kinase panel,IC50:1,GCK 抑制,medium,GCK 结合,medium,GCK(M4K2LGY1) Takeda global kinase panel,实验类型为 Binding，且 standard_type 为 IC50，通常表示竞争结合测定，因此判断为 GCK 结合。,TRUE,,GCK 结合,medium,llm,TRUE
CHEMBL4885047,GCK(M4K2LGY1) Takeda global kinase panel,IC50:1,GCK 抑制,medium,GCK 结合,medium,GCK(M4K2LGY1) Takeda global kinase panel,实验类型为 Binding，且 standard_type 为 IC50，通常表示竞争结合测定，因此判断为 GCK 结合。,TRUE,,GCK 结合,medium,llm,TRUE
CHEMBL4885337,GCK(M4K2LGY1) Takeda global kinase panel,IC50:1,GCK 抑制,medium,GCK 结合,medium,GCK(M4K2LGY1) Takeda global kinase panel,实验类型为 Binding，且 standard_type 为 IC50，通常表示竞争结合测定，因此判断为 GCK 结合。,TRUE,,GCK 结合,medium,llm,TRUE
CHEMBL4887878,GCK(h) Millipore kinase panel,Inhibition:1,GCK 抑制,medium,GCK 抑制,medium,GCK(h) Millipore kinase panel,实验描述为激酶筛选面板，实测standard_type为Inhibition，表明测量化合物对GCK酶活性的抑制能力。,TRUE,,GCK 抑制,medium,llm,TRUE
CHEMBL5048925,Displacement of fluorescent labeled derivative from recombinant human hepatic glucokinase incubated for 30 mins in presence of 12 mM glucose by fluorescent polarization assay,IC50:2,GCK 结合,low,GCK 结合,high,Displacement of fluorescent labeled derivative from recombinant human hepatic glucokinase,描述为基于荧光偏振的竞争结合实验，直接测量化合物从重组GK蛋白上置换荧光标记探针的能力，属于GCK结合测定。,TRUE,,GCK 结合,high,llm,FALSE
CHEMBL5059136,GCK(h) Kinase panel,Inhibition:1,GCK 抑制,medium,GCK 抑制,medium,GCK(h) Kinase panel,实验描述为激酶面板筛选，暗示酶活性检测；实测standard_type仅Inhibition，指向化合物对GCK活性的抑制。assay_type标记为Binding存疑，但整体信息支持抑制功能测定。,TRUE,,GCK 抑制,medium,llm,TRUE
CHEMBL5261324,Agonist activity at glucokinase (unknown origin) assessed as fold increase at 10 uM by luciferase reporter gene assay,FC:1,GCK 激活,medium,细胞或表型效应,medium,by luciferase reporter gene assay,该实验使用荧光素酶报告基因检测，读数反映的是细胞水平的响应，而非直接测量GCK酶活性，因此属于细胞或表型效应。,TRUE,,细胞或表型效应,medium,llm,TRUE
CHEMBL5464286,% Activity remaining of GCK in the Dundee kinase panel at 1.0 µM,% Activity remaining:2,无法判断,low,无法判断,low,% Activity remaining of GCK in the Dundee kinase panel at 1.0 µM,实验描述仅提供剩余活性百分比，未指明化合物是增强还是降低酶活性，因此无法判断是激活或抑制。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL5724151,activity of GCK(h) at 1.0 µM in the Eurofins Kinase panel,activity:1,无法判断,low,无法判断,low,activity of GCK(h) at 1.0 µM in the Eurofins Kinase panel,描述仅提及“activity”，未指明是激活还是抑制，也无法判断是功能检测还是结合实验，信息不足。,TRUE,,无法判断,low,manual_review_required,TRUE
CHEMBL5733424,"Inhibition Assay: The in vitro activity of the compounds described herein in inhibiting TAK1, HCK, and other kinases were obtained using an Invitrogen Select Screening assay as known in the art.",IC50:3; k_off:3; kon:3,GCK 抑制,medium,无法判断,high,"Inhibition Assay: The in vitro activity of the compounds described herein in inhibiting TAK1, HCK, and other kinases were obtained using an Invitrogen Select Screening assay as known in the art.",实验描述明确测量的是TAK1、HCK等激酶的抑制活性，未提及葡萄糖激酶（GCK），无法判断该实验是否实际测量了GCK的抑制或其他效应。,TRUE,,GCK 抑制,low,manual_review_required,TRUE
CHEMBL5735123,"In Vitro Activity Assay: The in vitro activity of the compounds described herein in inhibiting TAK1, HCK and other kinases were obtained using an Invitrogen Select Screening assay as known in the art.",IC50:3; k_off:3; kon:3,GCK 抑制,medium,GCK 抑制,medium,"the in vitro activity of the compounds described herein in inhibiting TAK1, HCK and other kinases",实验描述明确提及测定化合物对TAK1、HCK及其他激酶的抑制活性，结合靶点为GCK，推断为GCK抑制实验。但未直接提及GCK，故置信度中等。,TRUE,,GCK 抑制,medium,llm,TRUE
CHEMBL6194772,Effect of GCK(h) at compound concentration of 1.0 uM using the Cerep Kinase panel,Effect:2,无法判断,low,无法判断,low,Effect of GCK(h) at compound concentration of 1.0 uM using the Cerep Kinase panel,描述仅提及“Effect”，未指明方向（激活或抑制），且standard_type为“Effect”，缺乏足够信息判断实际测量的类别。,TRUE,,无法判断,low,manual_review_required,TRUE
