assay_chembl_id,target_chembl_id,assay_description,assay_type,bao_label,standard_types,activity_comments,assay_category,classification_confidence,classification_reason
CHEMBL1054393,CHEMBL3820,Activity at human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3),B,assay format,Vmax:1,,无法判断,low,描述无方向措辞，standard_type 也全为方向中性（Vmax:1）
CHEMBL2168355,CHEMBL3820,Activity at human recombinant glucokinase assessed as increase in Vmax at 1 uM,B,single protein format,Activity:1,,无法判断,low,描述无方向措辞，standard_type 也全为方向中性（Activity:1）
CHEMBL2168357,CHEMBL3820,Activity at human recombinant glucokinase assessed as decrease in Km at 1 uM,B,single protein format,Activity:1,,无法判断,low,描述无方向措辞，standard_type 也全为方向中性（Activity:1）
CHEMBL2432300,CHEMBL3820,Activity of human glucokinase at 50 uM,B,single protein format,Vmax:18,,无法判断,low,描述无方向措辞，standard_type 也全为方向中性（Vmax:18）
CHEMBL3117036,CHEMBL3820,Inhibition of fluorescein-labeled human GK interaction with biotin-labeled human GKRP incubated for 20 mins prior to addition of fluorescein-labeled GK measured after 2 to 4 hrs by Alpha Screen assay,B,single protein format,IC50:30,,GCK 抑制,medium,描述命中抑制类措辞：「Inhibition of fluorescein-labeled human GK interaction with biotin-lab…」；描述提及 GKRP 但未构成明确的相互作用表述，需人工确认；standard_type 与描述一致（IC50:30→抑制）
CHEMBL3226993,CHEMBL3820,Activity at glucokinase (unknown origin),B,single protein format,EC50:27,,GCK 激活,medium,描述无方向措辞，依据实测 standard_type 推断（EC50:27→激活）
CHEMBL3223676,CHEMBL3820,Inhibition of recombinant human pancreatic glucokinase by G-6-P dehydrogenase assay,B,single protein format,EC50:17,,GCK 抑制,low,描述命中抑制类措辞：「Inhibition of recombinant human pancreatic glucokinase by G-6-P dehydr…」；⚠ 描述判定为「GCK 抑制」，但实测 standard_type 指向其他方向（EC50:17→激活）
CHEMBL3239304,CHEMBL3820,Activity of recombinant human pancreatic glucokinase assessed as glucose half-maximal saturation concentration,B,single protein format,S50:18,,GCK 激活,medium,描述无方向措辞，依据实测 standard_type 推断（S50:18→激活）
CHEMBL3239305,CHEMBL3820,Activity of recombinant human pancreatic glucokinase assessed as glucose half-maximal activity,B,single protein format,Vmax:1,,无法判断,low,描述无方向措辞，standard_type 也全为方向中性（Vmax:1）
CHEMBL3377919,CHEMBL3820,Activity of human recombinant Glucokinase measured over 5 mins by spectrophotometry,B,single protein format,Km:24,,无法判断,low,描述无方向措辞，standard_type 也全为方向中性（Km:24）
