assay_chembl_id,assay_description,assay_category,standard_types,n_activities,doc_chembl_id,doc_title,src_short_name,target_identity_evidence
CHEMBL1942767,Inhibition of human GCK in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM,GCK 抑制,Inhibition:4,4,CHEMBL1938230,6-Position optimization of tricyclic 4-quinolone-based inhibitors of glycogen synthase kinase-3β: discovery of nitrile derivatives with picomolar potency.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；出现蛋白激酶专属读数「acyl-phosphate ATP probe」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL3630507,Inhibition of GCK (unknown origin) at 10 uM after 120 mins P33 radiolabeled kinase activity assay,GCK 抑制,Inhibition:3,3,CHEMBL3627608,Crystal structures of human RIP2 kinase catalytic domain complexed with ATP-competitive inhibitors: Foundations for understanding inhibitor selectivity.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；出现蛋白激酶专属读数「radiolabeled kinase activity」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL3750455,Inhibition of GCK (unknown origin) at 1 uM,GCK 抑制,Inhibition:1,1,CHEMBL3745631,Discovery of highly potent and selective Bruton's tyrosine kinase inhibitors: Pyridazinone analogs with improved metabolic stability.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL3829755,Inhibition of human GCK (2 to 812 residues) assessed as remaining enzyme activity at 50 uM after 30 mins by 33P-ATP filter-binding assay,GCK 抑制,Activity:1,1,CHEMBL3826966,"A chromatography-free isolation of rohitukine from leaves of Dysoxylum binectariferum: Evaluation for in vitro cytotoxicity, Cdk inhibition and physicochemical properties.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述给出残基范围 2-812，超出葡萄糖激酶全长 465 aa
CHEMBL4034328,Inhibition of GCK Lysine 1 labelling site (unknown origin) at 10 uM,GCK 抑制,Inhibition:1,1,CHEMBL4033637,Developing DYRK inhibitors derived from the meridianins as a means of increasing levels of NFAT in the nucleus.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；出现蛋白激酶专属读数「labelling site」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL4034329,Inhibition of GCK Lysine 2 labelling site (unknown origin) at 10 uM,GCK 抑制,Inhibition:1,1,CHEMBL4033637,Developing DYRK inhibitors derived from the meridianins as a means of increasing levels of NFAT in the nucleus.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；出现蛋白激酶专属读数「labelling site」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL4045684,Inhibition of GCK conserved Lys1 (DTVTSELAAVKIVK) in human PBMC at 1 uM,GCK 抑制,Inhibition:1,1,CHEMBL4043168,The design and SAR of a novel series of 2-aminopyridine based LRRK2 inhibitors.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述含 MAP4K2 催化域特征肽 DTVTSELAAVKIVK（葡萄糖激酶序列中不存在）；出现蛋白激酶专属读数「conserved Lys」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL4045685,Inhibition of GCK conserved Lys2 (DIKGANLLLTLQGDVK) in human PBMC at 1 uM,GCK 抑制,Inhibition:1,1,CHEMBL4043168,The design and SAR of a novel series of 2-aminopyridine based LRRK2 inhibitors.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述含 MAP4K2 催化域特征肽 DIKGANLLLTLQGDVK（葡萄糖激酶序列中不存在）；出现蛋白激酶专属读数「conserved Lys」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL4045926,Inhibition of GCK conserved Lys1 (DTVTSELAAVKIVK) in human PBMC at 0.1 uM,GCK 抑制,Inhibition:1,1,CHEMBL4043168,The design and SAR of a novel series of 2-aminopyridine based LRRK2 inhibitors.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述含 MAP4K2 催化域特征肽 DTVTSELAAVKIVK（葡萄糖激酶序列中不存在）；出现蛋白激酶专属读数「conserved Lys」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL4045927,Inhibition of GCK conserved Lys2 (DIKGANLLLTLQGDVK) in human PBMC at 0.1 uM,GCK 抑制,Inhibition:1,1,CHEMBL4043168,The design and SAR of a novel series of 2-aminopyridine based LRRK2 inhibitors.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述含 MAP4K2 催化域特征肽 DIKGANLLLTLQGDVK（葡萄糖激酶序列中不存在）；出现蛋白激酶专属读数「conserved Lys」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
