molecule_chembl_id,molecule_pref_name,assay_chembl_id,activity_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,metric_role,metric_scale,value_nm,pactivity,role_rule,glucose_mM_parsed,activity_comment,potential_duplicate,doc_chembl_id,doc_year,src_short_name,assay_description
CHEMBL1096435,Ro-281675,CHEMBL1260806,3501474,Activity,=,0.127,uM,,potency,concentration,127.0,6.9,自由文本指标 Activity 受限提升为效力，描述命中：「concentration required to 50% increase」,,,0,CHEMBL1255563,2010,LITERATURE,Activation of glucokinase assessed as concentration required to 50% increase in enzyme activity
CHEMBL1096435,Ro-281675,CHEMBL1788085,6224314,EC50,=,690,nM,6.16,potency,concentration,690.0,6.16,EC50 为标准化浓度型效力指标,6.5,,0,CHEMBL1782019,2009,LITERATURE,Activation of human recombinant glucokinase using 6.5 mM glucose by spectrophotometry
CHEMBL1096435,Ro-281675,CHEMBL1788086,6224282,Emax,=,81,%,,efficacy,percent,,,Emax 为激活幅度指标，按该 assay 内值域（max=148.0）判为 percent 尺度,6.5,,0,CHEMBL1782019,2009,LITERATURE,Activation of human recombinant glucokinase using 6.5 mM glucose by spectrophotometry relative to control
CHEMBL1096435,Ro-281675,CHEMBL1825590,6351447,Ratio,=,4.67,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1096435,Ro-281675,CHEMBL1825591,6351513,Ratio,=,1,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1096435,Ro-281675,CHEMBL1825592,6351579,Ratio,=,2.55,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,20,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 20 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1096435,Ro-281675,CHEMBL1825593,6352514,Ratio,=,1,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1096435,Ro-281675,CHEMBL2167270,12087482,Activity,=,0.24,uM,,unclassified,,,,Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总,,,0,CHEMBL2163188,2012,LITERATURE,Activation of human recombinant glucokinase assessed as concentration required for 1.5 fold increase in enzymatic activity
CHEMBL1096435,Ro-281675,CHEMBL2353000,12717658,%max,=,98,%,,efficacy,percent,,,%max 为激活幅度指标，按该 assay 内值域（max=127.0）判为 percent 尺度,,,0,CHEMBL2346600,2013,LITERATURE,Activation of glucokinase (unknown origin) relative to control
CHEMBL1096435,Ro-281675,CHEMBL2353001,12717704,EC50,=,500,nM,6.3,potency,concentration,500.0,6.3,EC50 为标准化浓度型效力指标,,,0,CHEMBL2346600,2013,LITERATURE,Activation of glucokinase (unknown origin)
CHEMBL1096435,Ro-281675,CHEMBL2412836,13387382,Activity,,,,,unclassified,,,,Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总,200,,0,CHEMBL2406951,2013,LITERATURE,Allosteric activation of recombinant wild-type human pancreatic glucokinase expressed in Escherichia coli K-12 assessed as increase in glucose Vmax by enzyme-kinetic study in presence of 200 mM glucose
