molecule_chembl_id,molecule_pref_name,molecule_type,max_phase,canonical_smiles,standard_inchi_key,n_potency_records,potency_types,potency_nm_min,potency_nm_median,potency_nm_max,pactivity_max,pactivity_median,pactivity_min,pactivity_spread,n_potency_censored_gt,potency_censored_gt_min_nm,n_potency_censored_lt,potency_n_assays,potency_n_docs,potency_records,n_efficacy_records,efficacy_fold_max,efficacy_fold_max_source,n_efficacy_fold,efficacy_pct_max,efficacy_pct_max_source,n_efficacy_pct,efficacy_n_assays,efficacy_n_docs,efficacy_records,n_kinetic_records,kinetic_records,n_unclassified_records,unclassified_records,n_activities,n_assays,n_docs,doc_chembl_ids,doc_years,src_short_names,n_potential_duplicate,evidence_consistency,evidence_level,evidence_note
CHEMBL1096435,Ro-281675,Small molecule,,CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1,NEQSWPCDHDQINX-MRXNPFEDSA-N,4,EC50:3; Activity:1,127.0,417.0,690.0,6.9,6.39,6.16,0.74,0,,0,4,4,"[{""assay"": ""CHEMBL1260806"", ""type"": ""Activity"", ""relation"": ""="", ""value_nm"": 127.0, ""pactivity"": 6.9, ""doc"": ""CHEMBL1255563"", ""rule"": ""自由文本指标 Activity 受限提升为效力，描述命中：「concentration required to 50% increase」""}, {""assay"": ""CHEMBL1788085"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 690.0, ""pactivity"": 6.16, ""doc"": ""CHEMBL1782019"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL2353001"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 500.0, ""pactivity"": 6.3, ""doc"": ""CHEMBL2346600"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL3223666"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 334.0, ""pactivity"": 6.48, ""doc"": ""CHEMBL3217627"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",6,4.67,Ratio@CHEMBL1825590,4,98.0,%max@CHEMBL2353000,2,6,3,"[{""assay"": ""CHEMBL1788086"", ""type"": ""Emax"", ""scale"": ""percent"", ""value"": 81, ""units"": ""%"", ""doc"": ""CHEMBL1782019"", ""rule"": ""Emax 为激活幅度指标，按该 assay 内值域（max=148.0）判为 percent 尺度""}, {""assay"": ""CHEMBL1825590"", ""type"": ""Ratio"", ""scale"": ""fold"", ""value"": 4.67, ""units"": null, ""doc"": ""CHEMBL1821720"", ""rule"": ""自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」""}, {""assay"": ""CHEMBL1825591"", ""type"": ""Ratio"", ""scale"": ""fold"", ""value"": 1, ""units"": null, ""doc"": ""CHEMBL1821720"", ""rule"": ""自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」""}, {""assay"": ""CHEMBL1825592"", ""type"": ""Ratio"", ""scale"": ""fold"", ""value"": 2.55, ""units"": null, ""doc"": ""CHEMBL1821720"", ""rule"": ""自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」""}, {""assay"": ""CHEMBL1825593"", ""type"": ""Ratio"", ""scale"": ""fold"", ""value"": 1, ""units"": null, ""doc"": ""CHEMBL1821720"", ""rule"": ""自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」""}, {""assay"": ""CHEMBL2353000"", ""type"": ""%max"", ""scale"": ""percent"", ""value"": 98, ""units"": ""%"", ""doc"": ""CHEMBL2346600"", ""rule"": ""%max 为激活幅度指标，按该 assay 内值域（max=127.0）判为 percent 尺度""}]",0,,5,"[{""assay"": ""CHEMBL2167270"", ""type"": ""Activity"", ""value"": 0.24, ""units"": ""uM"", ""reason"": ""Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总""}, {""assay"": ""CHEMBL2412836"", ""type"": ""Activity"", ""value"": null, ""units"": null, ""reason"": ""Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总""}, {""assay"": ""CHEMBL2412837"", ""type"": ""Activity"", ""value"": 30, ""units"": ""%"", ""reason"": ""Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总""}, {""assay"": ""CHEMBL2412840"", ""type"": ""Activity"", ""value"": null, ""units"": null, ""reason"": ""Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总""}, {""assay"": ""CHEMBL2412842"", ""type"": ""Activity"", ""value"": null, ""units"": null, ""reason"": ""Activity 为自由文本指标（无官方标准化规则），assay 描述未命中提升门槛，不跨实验汇总""}]",15,15,7,"[""CHEMBL1255563"", ""CHEMBL1782019"", ""CHEMBL1821720"", ""CHEMBL2163188"", ""CHEMBL2346600"", ""CHEMBL2406951"", ""CHEMBL3217627""]",2009; 2010; 2011; 2012; 2013,LITERATURE,0,较一致（pActivity 极差 0.74，10 倍以内）,强,5 条指标未归类（见 unclassified_records）
CHEMBL1164184,,Small molecule,,O=C(Nc1ncc(F)s1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,DBMFNEZMJWKKPU-UHFFFAOYSA-N,2,EC50:2,89.0,89.0,89.0,7.05,7.05,7.05,0.0,0,,0,2,2,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 89.0, ""pactivity"": 7.05, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL3225185"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 89.0, ""pactivity"": 7.05, ""doc"": ""CHEMBL3217569"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,4.6,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 4.6, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,3,3,2,"[""CHEMBL1165956"", ""CHEMBL3217569""]",2010; 2011,LITERATURE,1,一致（pActivity 极差 0.0，3 倍以内）,强,1 条被 ChEMBL 标为 potential_duplicate
CHEMBL1164268,,Small molecule,,CCc1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(C)(=O)=O)cc2)n1,ZTFCBYGXEPFXMG-UHFFFAOYSA-N,1,EC50:1,1000.0,1000.0,1000.0,6.0,6.0,6.0,,0,,0,1,1,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 1000.0, ""pactivity"": 6.0, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,2.17,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 2.17, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,2,2,1,"[""CHEMBL1165956""]",2010,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,中,仅 1 篇文献支撑
CHEMBL1164315,,Small molecule,,CC(C)Cc1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(C)(=O)=O)cc2)n1,IIGHLCWXWNSZSO-UHFFFAOYSA-N,1,EC50:1,355.0,355.0,355.0,6.45,6.45,6.45,,0,,0,1,1,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 355.0, ""pactivity"": 6.45, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,2.05,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 2.05, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,2,2,1,"[""CHEMBL1165956""]",2010,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,中,仅 1 篇文献支撑
CHEMBL1164323,,Small molecule,,CS(=O)(=O)c1ccc(C(CC2CCOCC2)C(=O)Nc2nc(-c3ccccc3)cs2)cc1,BJJGHIOXERFROQ-UHFFFAOYSA-N,1,EC50:1,724.0,724.0,724.0,6.14,6.14,6.14,,0,,0,1,1,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 724.0, ""pactivity"": 6.14, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,1.3,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 1.3, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,2,2,1,"[""CHEMBL1165956""]",2010,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,中,仅 1 篇文献支撑
CHEMBL1164508,,Small molecule,,CS(=O)(=O)c1ccc(C(CC2CCOCC2)C(=O)Nc2nc(-c3ccc(F)cc3)cs2)cc1,GEPMNRBHCPMKPW-UHFFFAOYSA-N,1,EC50:1,1180.0,1180.0,1180.0,5.93,5.93,5.93,,0,,0,1,1,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 1180.0, ""pactivity"": 5.93, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,1.25,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 1.25, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,2,2,1,"[""CHEMBL1165956""]",2010,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,中,仅 1 篇文献支撑
CHEMBL1164519,,Small molecule,,CC(C)c1nc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)sc1Br,PQTMWNFGWWQCSK-UHFFFAOYSA-N,1,EC50:1,320.0,320.0,320.0,6.5,6.5,6.5,,0,,0,1,1,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 320.0, ""pactivity"": 6.5, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,1.67,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 1.67, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,2,2,1,"[""CHEMBL1165956""]",2010,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,中,仅 1 篇文献支撑
CHEMBL1164577,,Small molecule,,CC(C)c1csc(NC(=O)[C@H](CC2CCOCC2)c2ccc(S(C)(=O)=O)cc2)n1,NSHNTEGAQYQHAG-GOSISDBHSA-N,1,EC50:1,330.0,330.0,330.0,6.48,6.48,6.48,,0,,0,1,1,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 330.0, ""pactivity"": 6.48, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,2.1,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 2.1, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,2,2,1,"[""CHEMBL1165956""]",2010,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,中,仅 1 篇文献支撑
CHEMBL1164578,,Small molecule,,CC(C)c1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,BPQYAGOLJHAJOW-UHFFFAOYSA-N,2,EC50:2,157.0,157.0,157.0,6.8,6.8,6.8,0.0,0,,0,2,2,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 157.0, ""pactivity"": 6.8, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}, {""assay"": ""CHEMBL3225185"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 157.0, ""pactivity"": 6.8, ""doc"": ""CHEMBL3217569"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",2,2.97,FC@CHEMBL1167928,2,,,0,2,2,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 2.97, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}, {""assay"": ""CHEMBL3225186"", ""type"": ""max activation"", ""scale"": ""fold"", ""value"": 2.97, ""units"": null, ""doc"": ""CHEMBL3217569"", ""rule"": ""max activation 为激活幅度指标，按该 assay 内值域（max=2.97）判为 fold 尺度""}]",0,,0,,4,4,2,"[""CHEMBL1165956"", ""CHEMBL3217569""]",2010; 2011,LITERATURE,1,一致（pActivity 极差 0.0，3 倍以内）,强,1 条被 ChEMBL 标为 potential_duplicate
CHEMBL1164579,,Small molecule,,Cc1nc(NC(=O)C(CC2CCOCC2)c2ccc(S(C)(=O)=O)cc2)sc1C,GFFYKSCAUKNILG-UHFFFAOYSA-N,1,EC50:1,2860.0,2860.0,2860.0,5.54,5.54,5.54,,0,,0,1,1,"[{""assay"": ""CHEMBL1167927"", ""type"": ""EC50"", ""relation"": ""="", ""value_nm"": 2860.0, ""pactivity"": 5.54, ""doc"": ""CHEMBL1165956"", ""rule"": ""EC50 为标准化浓度型效力指标""}]",1,1.72,FC@CHEMBL1167928,1,,,0,1,1,"[{""assay"": ""CHEMBL1167928"", ""type"": ""FC"", ""scale"": ""fold"", ""value"": 1.72, ""units"": null, ""doc"": ""CHEMBL1165956"", ""rule"": ""FC（fold change）为激活倍数""}]",0,,0,,2,2,1,"[""CHEMBL1165956""]",2010,LITERATURE,0,不适用（可定量效力值不足 2 个 assay）,中,仅 1 篇文献支撑
