priority,priority_note,is_positive_control,control_name,molecule_chembl_id,molecule_pref_name,max_phase,canonical_smiles,rank_overall,potency_band,pactivity_median,pactivity_max,potency_nm_min,direction,has_efficacy_corroboration,efficacy_fold_max,efficacy_pct_max,evidence_level,n_assays,n_docs,flags,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL4086782,,,CCS(=O)(=O)c1ccc(Oc2cc3cc(-c4ccc(C(F)(F)F)cn4)[nH]c3cc2C2CCC(=O)N2C)cc1,1,≥7.5（EC50 ≤ 32 nM）,8.775,8.85,1.4,activation,TRUE,,602.0,中,4,1,,O=C1CCC(c2cc3[nH]c(-c4ccccn4)cc3cc2Oc2ccccc2)N1,16,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL4067028,,,CN1C(=O)CCC1c1cc2[nH]c(-c3ccccn3)cc2cc1Oc1ccc(S(C)(=O)=O)nc1,4,≥7.5（EC50 ≤ 32 nM）,8.525,9.1,0.8,activation,TRUE,,784.0,中,4,1,,O=C1CCC(c2cc3[nH]c(-c4ccccn4)cc3cc2Oc2cccnc2)N1,8,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL4086771,,,Cc1cnc(-c2cc3cc(Oc4ccc(S(C)(=O)=O)nc4)c(C4CCC(=O)N4C)cc3[nH]2)s1,7,≥7.5（EC50 ≤ 32 nM）,8.385,9.0,1.0,activation,TRUE,,620.0,中,4,1,,O=C1CCC(c2cc3[nH]c(-c4nccs4)cc3cc2Oc2cccnc2)N1,4,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL4092800,,,COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2nc(CC(=O)O)c(Cl)s2)cc1,11,≥7.5（EC50 ≤ 32 nM）,8.24,8.24,5.7,activation,TRUE,,153.0,中,2,1,,O=C(Nc1nccs1)c1nc(Sc2ccccn2)ccc1Sc1ccccc1,5,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL4078915,,,CN1C(=O)CCC1c1cc2[nH]c(-c3cnccn3)cc2cc1Oc1ccc(S(C)(=O)=O)nc1,22,≥7.5（EC50 ≤ 32 nM）,8.05,8.38,4.2,activation,TRUE,,713.0,中,4,1,跨 assay 效力分歧（极差 1.06）,O=C1CCC(c2cc3[nH]c(-c4cnccn4)cc3cc2Oc2cccnc2)N1,1,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL3764079,,,CS(=O)(=O)c1ccc(/C(=C/C2CCCC2)c2cc3cccnc3[nH]2)cc1Cl,33,≥7.5（EC50 ≤ 32 nM）,7.91,7.91,12.4,activation,TRUE,,274.5,中,2,1,,C(=C(c1ccccc1)c1cc2cccnc2[nH]1)C1CCCC1,6,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL5076377,,,CCOP(=O)(Cn1ccc(NC(=O)c2cc(Oc3ccc(C(=O)N4CCC4)nc3)cc(OC(C)C)c2)n1)OCC,59,≥7.5（EC50 ≤ 32 nM）,7.6,7.6,25.0,activation,TRUE,,124.0,中,2,1,,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(C(=O)N3CCC3)nc2)c1,1,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL572840,,,Cc1cccc(C#N)c1Oc1ccc2ncnc(Nc3ccn(C)n3)c2c1,60,≥7.5（EC50 ≤ 32 nM）,7.58,8.0,10.0,activation,TRUE,0.91,,中,4,1,,c1ccc(Oc2ccc3ncnc(Nc4cc[nH]n4)c3c2)cc1,10,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL1165653,,,CC(C)c1csc(NC(=O)[C@H](CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,61,≥7.5（EC50 ≤ 32 nM）,7.58,7.58,26.0,activation,TRUE,2.55,,中,2,1,,O=C(Nc1nccs1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,15,TRUE
P1,首批：效力 ≥7.0，骨架代表，方向有实测效能读数支持,FALSE,,CHEMBL4079100,,,Cc1ccc(Sc2ccc(Sc3nnc[nH]3)nc2C(=O)Nc2ncns2)cn1,64,≥7.5（EC50 ≤ 32 nM）,7.56,7.56,27.7,activation,TRUE,,190.0,中,2,1,,O=C(Nc1ncns1)c1nc(Sc2nnc[nH]2)ccc1Sc1cccnc1,1,TRUE
