molecule_chembl_id,molregno,molecule_pref_name,molecule_type,structure_type,max_phase,first_approval,availability_type,chirality,prodrug,natural_product,therapeutic_flag,first_in_class,inorganic_flag,chemical_probe,orphan,usan_stem,usan_year,parent_molregno,parent_chembl_id,is_parent,canonical_smiles,standard_inchi_key,standard_inchi,mw_freebase,full_mwt,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,full_molformula,np_likeness_score,n_synonyms,synonyms,priority,is_positive_control,control_name,potency_band,pactivity_median,potency_nm_min,direction,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative
CHEMBL1164790,646173,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,646173,CHEMBL1164790,TRUE,O=C(Nc1nc2c(s1)CCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,MKIYWNHKYDNDGI-UHFFFAOYSA-N,"InChI=1S/C23H28N2O4S2/c26-22(25-23-24-20-2-1-3-21(20)30-23)19(14-15-10-12-29-13-11-15)16-4-6-17(7-5-16)31(27,28)18-8-9-18/h4-7,15,18-19H,1-3,8-14H2,(H,24,25,26)",460.62,460.62,4.11,6,1,85.36,7,N,0,2,31,0.67,C23H28N2O4S2,-1.55,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.1,79.0,activation,O=C(Nc1nc2c(s1)CCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,1,TRUE
CHEMBL1165284,646171,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,646171,CHEMBL1165284,TRUE,O=C(Nc1nc2c(s1)CCCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,ZNVQMTZHVCRFNC-UHFFFAOYSA-N,"InChI=1S/C24H30N2O4S2/c27-23(26-24-25-21-3-1-2-4-22(21)31-24)20(15-16-11-13-30-14-12-16)17-5-7-18(8-6-17)32(28,29)19-9-10-19/h5-8,16,19-20H,1-4,9-15H2,(H,25,26,27)",474.65,474.65,4.5,6,1,85.36,7,N,0,2,32,0.64,C24H30N2O4S2,-1.49,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.21,61.0,activation,O=C(Nc1nc2c(s1)CCCC2)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,2,TRUE
CHEMBL1165653,646012,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,646012,CHEMBL1165653,TRUE,CC(C)c1csc(NC(=O)[C@H](CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,BPQYAGOLJHAJOW-HXUWFJFHSA-N,"InChI=1S/C23H30N2O4S2/c1-15(2)21-14-30-23(24-21)25-22(26)20(13-16-9-11-29-12-10-16)17-3-5-18(6-4-17)31(27,28)19-7-8-19/h3-6,14-16,19-20H,7-13H2,1-2H3,(H,24,25,26)/t20-/m1/s1",462.64,462.64,4.74,6,1,85.36,8,N,0,2,31,0.61,C23H30N2O4S2,-1.32,0,,P1,FALSE,,≥7.5（EC50 ≤ 32 nM）,7.58,26.0,activation,O=C(Nc1nccs1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,15,TRUE
CHEMBL2022798,1338170,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,1338170,CHEMBL2022798,TRUE,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)C3CC3)cc2)cc(C(=O)Nc2nccs2)c1,DXVPBLVBEAAZRB-UHFFFAOYSA-N,"InChI=1S/C24H24N2O5S2/c1-16(2)9-11-30-19-13-17(23(27)26-24-25-10-12-32-24)14-20(15-19)31-18-3-5-21(6-4-18)33(28,29)22-7-8-22/h3-6,9-10,12-15,22H,7-8,11H2,1-2H3,(H,25,26,27)",484.6,484.6,5.47,7,1,94.59,9,N,1,3,33,0.4,C24H24N2O5S2,-1.11,0,,P1,FALSE,,≥7.5（EC50 ≤ 32 nM）,7.55,28.3,activation,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)C3CC3)cc2)c1,3,TRUE
CHEMBL2022800,1338172,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,1338172,CHEMBL2022800,TRUE,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc(C(=O)Nc2nccs2)c1,FTAUVKBULYPEQD-UHFFFAOYSA-N,"InChI=1S/C25H27N3O6S2/c1-18(2)7-11-33-21-15-19(24(29)27-25-26-8-14-35-25)16-22(17-21)34-20-3-5-23(6-4-20)36(30,31)28-9-12-32-13-10-28/h3-8,14-17H,9-13H2,1-2H3,(H,26,27,29)",529.64,529.64,4.55,8,1,107.06,9,N,1,3,36,0.41,C25H27N3O6S2,-1.49,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.32,48.0,activation,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,4,TRUE
CHEMBL2023052,1338427,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,1338427,CHEMBL2023052,TRUE,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CC4CCC(C3)O4)cc2)cc(C(=O)Nc2ncc(F)s2)c1,WLNRSXUPQQKTNY-UHFFFAOYSA-N,"InChI=1S/C27H28FN3O6S2/c1-17(2)9-10-35-22-11-18(26(32)30-27-29-14-25(28)38-27)12-23(13-22)36-19-5-7-24(8-6-19)39(33,34)31-15-20-3-4-21(16-31)37-20/h5-9,11-14,20-21H,3-4,10,15-16H2,1-2H3,(H,29,30,32)",573.67,573.67,5.22,8,1,107.06,9,N,2,3,39,0.35,C27H28FN3O6S2,-0.77,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.11,78.0,activation,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CC4CCC(C3)O4)cc2)c1,2,TRUE
CHEMBL2023054,1338429,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,1338429,CHEMBL2023054,TRUE,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3CC[C@H](F)C3)cc2)cc(C(=O)Nc2ncc(F)s2)c1,UCEWQSGJSJZKKB-SFHVURJKSA-N,"InChI=1S/C25H25F2N3O5S2/c1-16(2)8-10-34-20-11-17(24(31)29-25-28-14-23(27)36-25)12-21(13-20)35-19-3-5-22(6-4-19)37(32,33)30-9-7-18(26)15-30/h3-6,8,11-14,18H,7,9-10,15H2,1-2H3,(H,28,29,31)/t18-/m0/s1",549.62,549.62,5.4,7,1,97.83,9,N,2,3,37,0.36,C25H25F2N3O5S2,-1.18,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.35,44.8,activation,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCCC3)cc2)c1,2,TRUE
CHEMBL2023056,1338431,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,1338431,CHEMBL2023056,TRUE,COC1CCN(S(=O)(=O)c2ccc(Oc3cc(OCC=C(C)C)cc(C(=O)Nc4ncc(F)s4)c3)cc2)CC1,KESKXWPXUFDYPI-UHFFFAOYSA-N,"InChI=1S/C27H30FN3O6S2/c1-18(2)10-13-36-22-14-19(26(32)30-27-29-17-25(28)38-27)15-23(16-22)37-21-4-6-24(7-5-21)39(33,34)31-11-8-20(35-3)9-12-31/h4-7,10,14-17,20H,8-9,11-13H2,1-3H3,(H,29,30,32)",575.68,575.68,5.47,8,1,107.06,10,N,2,3,39,0.32,C27H30FN3O6S2,-1.12,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.19,64.6,activation,O=C(Nc1nccs1)c1cccc(Oc2ccc(S(=O)(=O)N3CCCCC3)cc2)c1,2,TRUE
CHEMBL2023060,1338435,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,1338435,CHEMBL2023060,TRUE,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)C3CC3)cc2)cc(C(=O)Nc2cc(C)n(C)n2)c1,MPTPCIISFSPKKK-UHFFFAOYSA-N,"InChI=1S/C26H29N3O5S/c1-17(2)11-12-33-21-14-19(26(30)27-25-13-18(3)29(4)28-25)15-22(16-21)34-20-5-7-23(8-6-20)35(31,32)24-9-10-24/h5-8,11,13-16,24H,9-10,12H2,1-4H3,(H,27,28,30)",495.6,495.6,5.05,7,1,99.52,9,N,1,3,35,0.42,C26H29N3O5S,-1.03,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.04,90.1,activation,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(S(=O)(=O)C3CC3)cc2)c1,1,TRUE
CHEMBL2023432,1338811,,Small molecule,MOL,,,-1,-1,-1,0,0,-1,-1,0,-1,,,1338811,CHEMBL2023432,TRUE,CC(C)=CCOc1cc(Oc2ccc(S(=O)(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2)cc(C(=O)Nc2cc(C)n(C)n2)c1,BDKQYGBLMIUIPE-SZPZYZBQSA-N,"InChI=1S/C29H36N4O6S/c1-19(2)11-12-37-25-14-23(29(34)30-28-13-20(3)32(6)31-28)15-26(16-25)39-24-7-9-27(10-8-24)40(35,36)33-17-21(4)38-22(5)18-33/h7-11,13-16,21-22H,12,17-18H2,1-6H3,(H,30,31,34)/t21-,22+",568.7,568.7,4.92,8,1,111.99,9,N,1,3,40,0.36,C29H36N4O6S,-1.17,0,,P1,FALSE,,7.0–7.5（32–100 nM）,7.35,44.8,activation,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,4,TRUE
