molecule_chembl_id,molecule_pref_name,max_phase,first_approval,molecule_type,structure_type,source,activity_evidence,curated_direction,curated_mechanism,found_by_drug_annotation,parent_chembl_id,dedup_group,is_dedup_representative,is_salt,priority,potency_band,pactivity_median,potency_nm_min,direction,canonical_smiles,standard_inchi_key,mw_freebase,full_mwt,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,full_molformula,n_structural_alerts,structural_alert_sets,lle_max,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative,is_positive_control,control_name
CHEMBL3219124,AZD-1656,2,,Small molecule,MOL,activity+drug_annotation,TRUE,ACTIVATOR,Hexokinase type IV activator,drug_mechanism,CHEMBL3219124,CHEMBL3219124,TRUE,FALSE,P2,≥7.5（EC50 ≤ 32 nM）,7.55,28.0,activation_by_potency,COC[C@H](C)Oc1cc(Oc2cnc(C(=O)N3CCC3)cn2)cc(C(=O)Nc2cnc(C)cn2)c1,FJEJHJINOKKDCW-INIZCTEOSA-N,478.51,478.51,2.88,9,1,128.66,9,0,3,35,0.49,C24H26N6O5,0,,5.09,O=C(Nc1cnccn1)c1cccc(Oc2cnc(C(=O)N3CCC3)cn2)c1,1,TRUE,TRUE,AZD-1656
CHEMBL2165620,PF-04991532,2,,Small molecule,MOL,activity+drug_annotation,TRUE,ACTIVATOR,Hexokinase type IV activator,drug_mechanism,CHEMBL2165620,CHEMBL2165620,TRUE,FALSE,P2,7.0–7.5（32–100 nM）,7.05,90.0,activation_by_potency,O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,GKMLFBRLRVQVJO-ZDUSSCGKSA-N,396.37,396.37,3.76,5,2,97.11,6,0,2,28,0.78,C18H19F3N4O3,0,,3.29,O=C(Nc1ccccn1)C(CC1CCCC1)n1ccnc1,8,TRUE,TRUE,PF-04991532
CHEMBL2165615,NERIGLIATIN,2,,Small molecule,MOL,activity+drug_annotation,TRUE,ACTIVATOR,Hexokinase type IV activator,drug_mechanism+usan_stem+synonym,CHEMBL2165615,CHEMBL2165615,TRUE,FALSE,P3,6.5–7.0（0.1–0.32 µM）,6.725,174.0,activation,Cc1cnc(NC(=O)c2cc(Oc3cnc(C(=O)N(C)C)nc3)c3cc(C)oc3c2)cn1,MASKQITXHVYVFL-UHFFFAOYSA-N,432.44,432.44,3.38,8,1,123.34,5,0,4,32,0.51,C22H20N6O4,0,,3.38,O=C(Nc1cnccn1)c1cc(Oc2cncnc2)c2ccoc2c1,1,TRUE,TRUE,Neriglitin
CHEMBL1783734,PIRAGLIATIN,2,,Small molecule,MOL,activity+drug_annotation,TRUE,,,usan_stem+synonym,CHEMBL1783734,CHEMBL1783734,TRUE,FALSE,P3,6.0–6.5（0.32–1 µM）,6.145,364.0,activation,CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,XEANIURBPHCHMG-SWLSCSKDSA-N,421.91,421.91,3.02,6,1,106.09,6,0,2,28,0.77,C19H20ClN3O4S,1,"[""MLSMR""]",3.98,O=C1CCC(CC(C(=O)Nc2cnccn2)c2ccccc2)C1,3,TRUE,TRUE,Piraglitin
CHEMBL4086782,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL4086782,CHEMBL4086782,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,8.775,1.4,activation,CCS(=O)(=O)c1ccc(Oc2cc3cc(-c4ccc(C(F)(F)F)cn4)[nH]c3cc2C2CCC(=O)N2C)cc1,NJMQGAPDEDUCFJ-UHFFFAOYSA-N,543.57,543.57,6.13,5,1,92.36,6,2,4,38,0.32,C27H24F3N3O4S,0,,2.72,O=C1CCC(c2cc3[nH]c(-c4ccccn4)cc3cc2Oc2ccccc2)N1,16,TRUE,FALSE,
CHEMBL4067028,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL4067028,CHEMBL4067028,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,8.525,0.8,activation,CN1C(=O)CCC1c1cc2[nH]c(-c3ccccn3)cc2cc1Oc1ccc(S(C)(=O)=O)nc1,OOXAVDPIQSUYJW-UHFFFAOYSA-N,462.53,462.53,4.11,6,1,105.25,5,0,4,33,0.48,C24H22N4O4S,0,,4.99,O=C1CCC(c2cc3[nH]c(-c4ccccn4)cc3cc2Oc2cccnc2)N1,8,TRUE,FALSE,
CHEMBL4086771,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL4086771,CHEMBL4086771,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,8.385,1.0,activation,Cc1cnc(-c2cc3cc(Oc4ccc(S(C)(=O)=O)nc4)c(C4CCC(=O)N4C)cc3[nH]2)s1,FSFGCNSEUFOTBJ-UHFFFAOYSA-N,482.59,482.59,4.48,7,1,105.25,5,0,4,33,0.45,C23H22N4O4S2,0,,4.52,O=C1CCC(c2cc3[nH]c(-c4nccs4)cc3cc2Oc2cccnc2)N1,4,TRUE,FALSE,
CHEMBL4092800,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL4092800,CHEMBL4092800,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,8.24,5.7,activation,COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2nc(CC(=O)O)c(Cl)s2)cc1,LBGJOPLJDBUTRE-UHFFFAOYSA-N,545.07,545.07,5.78,9,2,114.3,9,2,4,35,0.27,C23H17ClN4O4S3,0,,2.46,O=C(Nc1nccs1)c1nc(Sc2ccccn2)ccc1Sc1ccccc1,5,TRUE,FALSE,
CHEMBL4078915,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL4078915,CHEMBL4078915,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,8.05,4.2,activation,CN1C(=O)CCC1c1cc2[nH]c(-c3cnccn3)cc2cc1Oc1ccc(S(C)(=O)=O)nc1,SWHHKLQQVAMTGD-UHFFFAOYSA-N,463.52,463.52,3.51,7,1,118.14,5,0,4,33,0.48,C23H21N5O4S,0,,4.87,O=C1CCC(c2cc3[nH]c(-c4cnccn4)cc3cc2Oc2cccnc2)N1,1,TRUE,FALSE,
CHEMBL3764079,,,,Small molecule,MOL,activity,TRUE,,,,CHEMBL3764079,CHEMBL3764079,TRUE,FALSE,P1,≥7.5（EC50 ≤ 32 nM）,7.91,12.4,activation,CS(=O)(=O)c1ccc(/C(=C/C2CCCC2)c2cc3cccnc3[nH]2)cc1Cl,NNBNDCTUZWVYRP-BOPFTXTBSA-N,400.93,400.93,5.24,3,1,62.82,4,1,3,27,0.65,C21H21ClN2O2S,0,,2.67,C(=C(c1ccccc1)c1cc2cccnc2[nH]1)C1CCCC1,6,TRUE,FALSE,
