patent_id,patent_number,country,publication_date,family_id,title,surface_forms,n_mentions,hit_clms
12176737,WO-2013092475-A1,WO,2013-06-27,47469973,CRYSTALS OF GLUCOKINASE REGULATORY PROTEIN (GKRP),"[""GKRP"", ""Glucokinase (hexokinase 4) regulator"", ""glucokinase regulatory protein""]",252,61
12402561,US-20130295666-A1,US,2013-11-07,47469973,CRYSTALS OF GLUCOKINASE REGULATORY PROTEIN (GKRP),"[""GKRP"", ""Glucokinase (hexokinase 4) regulator"", ""glucokinase regulatory protein""]",270,33
5608149,US-20020065239-A1,US,2002-05-30,26951776,Methods and compositions for treatment of diabetes and related conditions via gene therapy,"[""GKRP"", ""glucokinase regulatory protein""]",144,18
5073273,US-6608038-B2,US,2003-08-19,26951776,Antidiabetic agents; obesity and diabetic-related conditions; administration of vectors encoding the following: glucokinase regulatory protein alone or co-administered with glucokinase or with metabolism modififying proteins,"[""GKRP"", ""glucokinase regulatory protein""]",140,11
3691212,EP-1556088-A2,EP,2005-07-27,32230344,COMPOSITIONS FOR CANCER TREATMENT,"[""glucokinase regulatory protein""]",9,5
4341851,WO-2004039412-A2,WO,2004-05-13,32230344,COMPOSITIONS FOR CANCER TREATMENT,"[""glucokinase regulatory protein""]",9,5
4070427,US-20050202559-A1,US,2005-09-15,32230344,Cancer treatment by metabolic modulations,"[""glucokinase regulatory protein""]",7,3
53056679,EP-4505469-A2,EP,2025-02-12,88203595,"BIOMARKERS FOR DETERMINING A CANCER DISEASE STATE, RESPONSE TO IMMUNO-ONCOLOGY, STAGES OF FIBROSIS IN NON-ALCOHOLIC STEATOHEPATITIS, OR APPLICATION OF AGE OR SEX RELATED BIOMARKER PANEL FOR QUALITY CONTROL","[""Glucokinase regulator""]",3,2
1803750,US-20090041740-A1,US,2009-02-12,32230344,CANCER TREATMENT BY METABOLIC MODULATIONS,"[""glucokinase regulatory protein""]",6,2
12199262,US-20130177956-A1,US,2013-07-11,43828229,"MICROORGANISMS FOR 1,3-PROPANEDIOL PRODUCTION USING HIGH GLYCERINE CONCENTRATION","[""Glucokinase regulator""]",5,2
14046637,WO-2015144688-A1,WO,2015-10-01,50391026,HOST DEPENDENCY FACTORS AS TARGETS FOR ANTIVIRAL THERAPY,"[""Glucokinase (hexokinase 4) regulator"", ""glucokinase regulatory protein""]",15,2
17982722,WO-2017194810-A1,WO,2017-11-16,60267914,REVERSE TWO-HYBRID METHOD FOR THE IDENTIFICATION OF MISSENSE MUTATIONS,"[""GKRP"", ""glucokinase regulatory protein""]",133,2
27350878,WO-2023193016-A2,WO,2023-10-05,88203595,"BIOMARKERS FOR DETERMINING A CANCER DISEASE STATE, RESPONSE TO IMMUNO-ONCOLOGY, STAGES OF FIBROSIS IN NON-ALCOHOLIC STEATOHEPATITIS, OR APPLICATION OF AGE OR SEX RELATED BIOMARKER PANEL FOR QUALITY CONTROL","[""Glucokinase regulator""]",3,2
31059878,CN-102770429-A,CN,2012-11-07,43558461,Substituted aminothiazolone indazoles as estrogen related receptor-alpha modulators,"[""Glucokinase regulator""]",1,1
31194835,CN-102834392-A,CN,2012-12-19,43927926,Aminothiazolones as estrogen related receptor-alpha modulators,"[""Glucokinase regulator""]",1,1
38759971,CN-110382543-A,CN,2019-10-25,62791386,For treating the protein for treatment agent of senile cell,"[""GKRP""]",1,1
45879209,CN-110382543-B,CN,2023-12-26,62791386,Protein therapeutics for treating senescent cells,"[""GKRP""]",1,1
12309501,EP-2638172-A1,EP,2013-09-18,43828229,"MICROORGANISMS FOR 1,3-PROPANEDIOL PRODUCTION USING HIGH GLYCERINE CONCENTRATION","[""Glucokinase regulator""]",3,1
15115743,EP-3012325-A1,EP,2016-04-27,43828229,"MICROORGANISMS FOR 1,3-PROPANEDIOL PRODUCTION USING HIGH GLYCERINE CONCENTRATION","[""Glucokinase regulator""]",4,1
21581938,EP-3565846-A1,EP,2019-11-13,62791386,PROTEIN THERAPEUTICS FOR TREATMENT OF SENESCENT CELLS,"[""GKRP""]",3,1
24273062,EP-3827076-A1,EP,2021-06-02,63452685,IN VIVO DELIVERY SYSTEM OF THE GENOME DNA MODIFYING ENZYMES AND THE USE THEREOF,"[""Glucokinase (hexokinase 4) regulator""]",2,1
54227389,EP-4611746-A1,EP,2025-09-10,90931635,LXR MODULATORS WITH BICYCLIC CORE MOIETY FOR TREATING DYSLIPIDEMIAS,"[""glucokinase regulatory protein""]",6,1
16890910,US-20170128483-A1,US,2017-05-11,50391026,HOST DEPENDENCY FACTORS AS TARGETS FOR ANTIVIRAL THERAPY,"[""Glucokinase (hexokinase 4) regulator"", ""glucokinase regulatory protein""]",15,1
24567368,US-20210228643-A1,US,2021-07-29,63452685,N VIVO DELIVERY SYSTEM OF THE GENOME DNA MODIFYING ENZYMES AND THE USE THEREOF,"[""Glucokinase (hexokinase 4) regulator""]",2,1
24563579,US-20210230221-A1,US,2021-07-29,62791386,PROTEIN THERAPEUTICS FOR TREATMENT OF SENESCENT CELLS,"[""GKRP""]",3,1
27620830,US-20240044046-A1,US,2024-02-08,89769649,PROTEIN THERAPEUTICS FOR TREATMENT OF SENESCENT CELLS,"[""GKRP""]",7,1
1915676,WO-2012062832-A1,WO,2012-05-18,43828229,"MICROORGANISMS FOR 1,3-PROPANEDIOL PRODUCTION USING HIGH GLYCERINE CONCENTRATION","[""Glucokinase regulator""]",3,1
19144948,WO-2018129007-A1,WO,2018-07-12,62791386,PROTEIN THERAPEUTICS FOR TREATMENT OF SENESCENT CELLS,"[""GKRP""]",3,1
21700682,WO-2020021312-A1,WO,2020-01-30,63452685,IN VIVO DELIVERY SYSTEM OF THE GENOME DNA MODIFYING ENZYMES AND THE USE THEREOF,"[""Glucokinase (hexokinase 4) regulator""]",2,1
